"relative_im_path","class","xmin","ymin","xmax","ymax"
car_ims/004173.jpg,52,72,65,286,475,
car_ims/000537.jpg,7,129,103,305,572,
car_ims/013862.jpg,169,29,33,370,611,
car_ims/005920.jpg,73,121,17,211,275,
car_ims/007137.jpg,88,53,145,424,489,
car_ims/006507.jpg,80,42,10,332,456,
car_ims/010724.jpg,130,68,38,445,697,
car_ims/009164.jpg,112,163,66,622,975,
car_ims/011098.jpg,135,90,101,355,465,
car_ims/002410.jpg,30,282,73,694,932,
car_ims/011294.jpg,137,118,46,341,604,
car_ims/012193.jpg,148,41,1,82,44,
car_ims/014091.jpg,171,149,17,585,1003,
car_ims/011195.jpg,136,79,48,193,350,
car_ims/013964.jpg,170,163,225,1157,1710,
car_ims/008368.jpg,103,65,37,187,282,
car_ims/011160.jpg,135,28,12,153,242,
car_ims/007209.jpg,88,27,8,156,291,
car_ims/005252.jpg,65,81,51,409,616,
car_ims/009379.jpg,115,137,19,333,471,
car_ims/006561.jpg,81,22,10,451,676,
car_ims/011704.jpg,143,52,230,82,259,
car_ims/000880.jpg,11,85,26,380,610,
car_ims/003510.jpg,44,48,210,87,263,
car_ims/002567.jpg,32,80,22,430,571,
car_ims/011137.jpg,135,112,123,410,584,
car_ims/004898.jpg,61,62,55,370,619,
car_ims/010374.jpg,126,148,67,349,533,
car_ims/012716.jpg,155,38,78,408,559,
car_ims/004529.jpg,56,92,91,268,376,
car_ims/004222.jpg,53,82,4,188,241,
car_ims/007790.jpg,95,133,18,366,606,
car_ims/001512.jpg,19,23,62,319,491,
car_ims/015914.jpg,193,78,28,317,488,
car_ims/005013.jpg,62,53,240,61,245,
car_ims/000915.jpg,12,13,13,152,228,
car_ims/013090.jpg,160,68,63,443,761,
car_ims/014222.jpg,173,230,341,847,1562,
car_ims/012173.jpg,148,18,3,169,264,
car_ims/015018.jpg,183,215,188,369,498,
car_ims/012721.jpg,155,93,117,177,265,
car_ims/003567.jpg,44,47,13,129,252,
car_ims/012779.jpg,156,46,149,74,217,
car_ims/001765.jpg,22,172,128,487,753,
car_ims/011579.jpg,141,235,59,580,955,
car_ims/005606.jpg,70,35,15,160,234,
car_ims/015516.jpg,189,86,61,250,423,
car_ims/001382.jpg,18,86,40,231,475,
car_ims/015731.jpg,191,4,20,321,635,
car_ims/010086.jpg,119,168,580,189,619,
car_ims/003492.jpg,43,121,66,523,935,
car_ims/008640.jpg,106,54,50,484,770,
car_ims/013328.jpg,162,41,10,198,289,
car_ims/009192.jpg,112,241,26,478,796,
car_ims/009780.jpg,120,92,20,318,560,
car_ims/007797.jpg,96,165,26,1257,1990,
car_ims/001356.jpg,17,27,1,119,209,
car_ims/002555.jpg,32,148,163,583,727,
car_ims/011888.jpg,145,387,1490,538,1811,
car_ims/010447.jpg,127,86,34,284,593,
car_ims/007685.jpg,94,96,44,412,588,
car_ims/014357.jpg,175,54,27,187,281,
car_ims/015921.jpg,193,16,43,245,629,
car_ims/005459.jpg,68,155,732,311,776,
car_ims/010873.jpg,132,69,57,587,965,
car_ims/014511.jpg,177,48,36,238,425,
car_ims/015963.jpg,194,224,232,618,979,
car_ims/006982.jpg,86,137,55,421,589,
car_ims/005578.jpg,69,107,28,262,465,
car_ims/010524.jpg,128,64,12,141,282,
car_ims/013055.jpg,159,77,30,363,592,
car_ims/001710.jpg,21,82,48,197,275,
car_ims/005474.jpg,68,76,40,298,466,
car_ims/007057.jpg,87,157,50,362,607,
car_ims/013921.jpg,170,353,54,1053,1548,
car_ims/002445.jpg,31,61,17,117,185,
car_ims/003949.jpg,49,286,394,2337,3432,
car_ims/013442.jpg,164,112,960,189,1047,
car_ims/005750.jpg,72,12,4,182,253,
car_ims/004184.jpg,52,112,461,276,640,
car_ims/011670.jpg,142,38,14,187,303,
car_ims/008256.jpg,101,114,195,321,479,
car_ims/016103.jpg,195,35,63,335,572,
car_ims/013653.jpg,166,37,5,374,557,
car_ims/009244.jpg,113,118,61,365,530,
car_ims/008869.jpg,109,49,29,130,235,
car_ims/010257.jpg,124,33,25,272,431,
car_ims/015981.jpg,194,47,30,425,596,
car_ims/006097.jpg,75,91,20,395,607,
car_ims/004923.jpg,61,168,148,410,774,
car_ims/006117.jpg,76,91,44,406,679,
car_ims/002207.jpg,28,91,134,849,1134,
car_ims/003181.jpg,39,332,326,629,1016,
car_ims/008121.jpg,100,372,270,818,1118,
car_ims/008400.jpg,103,209,59,589,973,
car_ims/002508.jpg,31,29,66,414,598,
car_ims/014394.jpg,175,133,35,233,401,
car_ims/004003.jpg,50,152,72,436,732,
car_ims/013764.jpg,168,215,228,542,1141,
car_ims/000765.jpg,10,157,61,359,562,
car_ims/000460.jpg,6,96,30,269,489,
car_ims/005438.jpg,67,118,438,153,479,
car_ims/013428.jpg,164,183,115,883,1458,
car_ims/010510.jpg,127,48,31,222,371,
car_ims/004054.jpg,51,21,16,153,241,
car_ims/000277.jpg,4,133,18,441,602,
car_ims/003620.jpg,45,194,154,553,1056,
car_ims/008917.jpg,109,39,14,279,510,
car_ims/014824.jpg,180,0,30,126,77,
car_ims/003347.jpg,42,45,1,95,45,
car_ims/003214.jpg,40,75,192,703,1065,
car_ims/000478.jpg,6,147,29,380,699,
car_ims/002982.jpg,37,108,34,281,407,
car_ims/004572.jpg,57,39,9,73,136,
car_ims/011380.jpg,139,27,36,301,474,
car_ims/006000.jpg,74,115,37,288,400,
car_ims/014498.jpg,177,42,20,158,266,
car_ims/012641.jpg,154,128,53,388,629,
car_ims/000984.jpg,13,23,75,370,589,
car_ims/015134.jpg,184,99,111,410,584,
car_ims/000055.jpg,1,4,3,66,82,
car_ims/001819.jpg,23,47,19,180,282,
car_ims/003309.jpg,41,208,12,486,794,
car_ims/015431.jpg,188,16,52,159,242,
car_ims/002288.jpg,29,49,5,175,289,
car_ims/000040.jpg,1,219,107,682,892,
car_ims/008215.jpg,101,13,24,390,584,
